2008,Texcoco,0.37,11.02
2009,Texcoco,0.36,14.39
2010,Texcoco,0.35,17.76
2011,Texcoco,0.1,23.1
2012,Texcoco,0.09,28.43
2013,Texcoco,0.08,36.45
2014,Texcoco,0.07,44.47
2015,Texcoco,0.06,51.34
2016,Texcoco,0.106974,58.21
2017,Texcoco,0.10574,67.25
2018,Texcoco,0.104974,72.98
2019,Texcoco,0.103974,79.2
2020,Texcoco,0.057,86.29
2021,Texcoco,0.056,92.04
2022,Texcoco,0.055,92.04
0,,0,0
